City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Emerald,AU,79.34,light rain,-23.5333,148.1667,The Irish Village
412,Saint-Pierre,RE,83.88,few clouds,-21.3393,55.4781,Lindsey Hôtel
413,Road Town,VG,75.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
423,Manokwari,ID,80.62,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
428,San Policarpo,PH,80.42,few clouds,12.1791,125.5072,Agapita M. Nicart
433,Nueva Gorgona,PA,76.15,broken clouds,8.55,-79.8667,Coronado Luxury Club & Suites
434,Ca Mau,VN,79.92,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
435,Tanete,ID,77.49,light rain,-3.9443,119.7848,Wisma Tri Multi
436,Ranong,TH,89.53,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
437,Kavaratti,IN,83.84,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
441,Nioro,GM,87.08,clear sky,13.35,-15.75,
442,Sawakin,SD,83.32,clear sky,19.1059,37.3321,فندق الدويم
444,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
445,Santa,PH,83.79,clear sky,17.486,120.4348,Monte Leah Beach Resort
446,Parrita,CR,76.14,overcast clouds,9.5201,-84.3225,Beso del Viento
451,Wajir,KE,89.78,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
460,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
470,Ginda,IN,83.28,clear sky,30.6945,78.4932,Sunil Bisht
471,Vanimo,PG,80.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
475,Bundibugyo,UG,78.44,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
479,Pilar,BR,75.13,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
491,Fare,PF,81.99,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
493,Kuah,MY,89.58,scattered clouds,6.3265,99.8432,Azio Hotel
497,Daru,PG,79.21,overcast clouds,-9.0763,143.2092,Daru Lodge
501,Itamaraca,BR,78.85,overcast clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
503,Sinjai,ID,77.65,light rain,-5.1241,120.25299999999999,Wisma Sandika
506,Nosy Varika,MG,79.32,light rain,-20.5833,48.5333,Hotel Volazara
513,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
514,Dalbandin,PK,80.73,clear sky,28.8947,64.4101,Sanjrani House
517,Kudahuvadhoo,MV,82.45,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
523,Loa Janan,ID,79.86,broken clouds,-0.583,117.095,Kost bu jono
526,Saint-Paul,RE,84.31,light rain,-21.0096,55.2707,Boucan Canot
527,Mattru,SL,87.64,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
534,San Nicolas,PH,85.91,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
539,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
540,Chiredzi,ZW,83.88,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
541,Payo,ID,88.14,light rain,-3.7508,103.6372,Mess keban agung
547,Puerto Baquerizo Moreno,EC,77.34,light rain,-0.9,-89.6,Hotel los Algarrobos
552,Tombouctou,ML,89.56,scattered clouds,20.0,-3.0,
