City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
230,Barcelona,41.3888,2.159,56.82,81,75,4.61,ES,broken clouds
231,Ambilobe,-13.2,49.05,88.23,57,10,4.16,MG,clear sky
232,Luderitz,-26.6481,15.1594,74.23,58,26,17.16,NA,scattered clouds
233,Diego De Almagro,-26.3667,-70.05,55.83,64,0,0.85,CL,clear sky
234,Pasni,25.2631,63.471,91.11,24,0,17.27,PK,clear sky
235,Kolyvan,55.3053,82.7391,31.62,94,100,20.87,RU,light snow
236,Itapemirim,-21.0111,-40.8339,74.08,87,4,3.24,BR,clear sky
237,Mitsamiouli,-11.3847,43.2844,84.88,66,95,7.7,KM,overcast clouds
238,Harper,4.375,-7.7169,83.07,76,50,5.84,LR,light rain
239,Necochea,-38.5473,-58.7368,49.82,83,100,21.03,AR,light rain
240,Ulaangom,49.9811,92.0667,25.68,86,100,2.44,MN,overcast clouds
241,Bowen,-20.0167,148.2333,80.74,68,6,6.11,AU,clear sky
242,Roswell,34.0232,-84.3616,56.84,78,0,9.22,US,clear sky
243,Abonnema,4.7084,6.7931,92.32,54,80,1.23,NG,light rain
244,Panzhihua,26.5851,101.7128,85.98,25,70,8.19,CN,broken clouds
245,San Patricio,28.017,-97.5169,73.27,83,82,16.22,US,broken clouds
246,Sitka,57.0531,-135.33,44.49,65,100,4.61,US,overcast clouds
247,Cockburn Town,21.4612,-71.1419,75.4,66,0,22.73,TC,clear sky
248,Wilmington,34.2257,-77.9447,57.85,66,100,3.44,US,overcast clouds
249,Santiago,-33.4569,-70.6483,56.86,37,0,2.3,CL,clear sky
250,Devrek,41.2192,31.9558,68.85,40,5,3.87,TR,clear sky
251,Ukiah,39.1502,-123.2078,50.38,92,75,1.01,US,broken clouds
252,Codrington,-38.2667,141.9667,58.86,55,100,17.02,AU,overcast clouds
253,Rantepao,-2.9701,119.8978,69.55,95,88,2.04,ID,overcast clouds
254,Vanavara,60.34,102.2797,32.14,81,79,8.37,RU,broken clouds
255,Balykshi,47.0667,51.8667,51.8,54,40,20.13,KZ,scattered clouds
256,Manitouwadge,49.1215,-85.8403,24.93,81,100,7.34,CA,overcast clouds
257,Broome,42.2506,-75.833,20.53,72,0,1.01,US,clear sky
258,Saldanha,-33.0117,17.9442,66.33,66,89,11.61,ZA,overcast clouds
259,San Juan,-31.5375,-68.5364,50.56,18,5,9.01,AR,clear sky
260,Severobaykalsk,55.65,109.3167,14.83,90,61,1.16,RU,broken clouds
261,Hurghada,27.2574,33.8129,78.22,36,0,16.75,EG,clear sky
262,Rodrigues Alves,-7.738,-72.6509,69.13,100,95,2.21,BR,overcast clouds
263,Bonthe,7.5264,-12.505,83.88,68,27,5.17,SL,scattered clouds
264,Maldonado,-34.6667,-54.9167,56.59,48,7,17.69,UY,clear sky
265,Bonfim,3.0833,-59.95,72.43,80,23,6.55,BR,few clouds
266,Gat,31.61,34.7642,76.41,39,0,10.11,IL,clear sky
267,Sao Filipe,14.8961,-24.4956,71.69,75,8,13.09,CV,clear sky
268,Chapais,49.7834,-74.8492,-2.42,100,100,1.41,CA,overcast clouds
269,Richards Bay,-28.783,32.0377,88.93,42,0,12.26,ZA,clear sky
270,Hami,42.8,93.45,58.73,16,100,5.3,CN,overcast clouds
271,Palmer,42.1584,-72.3287,26.62,57,0,4.61,US,clear sky
272,Dhanera,24.5167,72.0167,105.22,8,0,13.47,IN,clear sky
273,Bathurst,-33.4166,149.5806,64.83,83,33,1.01,AU,scattered clouds
274,Sechura,-5.5569,-80.8222,70.18,81,73,8.48,PE,broken clouds
275,Blagoyevo,63.3667,47.9167,24.78,61,95,6.38,RU,light snow
276,Airai,-8.9266,125.4092,61.88,96,100,1.57,TL,light rain
277,Pisco,-13.7,-76.2167,64.45,82,0,2.3,PE,clear sky
278,Dingle,10.9995,122.6711,82.58,68,2,7.99,PH,clear sky
279,Flin Flon,54.7682,-101.865,8.69,98,63,2.1,CA,broken clouds
280,Ketchikan,55.3422,-131.6461,42.78,87,100,14.63,US,light rain
281,Kotelnich,58.3089,48.348,27.19,64,99,10.65,RU,light snow
282,Ust-Uda,54.1742,103.0304,30.11,80,7,6.96,RU,clear sky
283,Rocky Mountain House,52.3668,-114.9188,28.51,86,100,2.3,CA,overcast clouds
284,Norsup,-16.0667,167.3833,80.94,84,99,2.77,VU,overcast clouds
285,Ilulissat,69.2167,-51.1,23.02,86,40,2.3,GL,scattered clouds
286,Barra Do Garcas,-15.89,-52.2567,71.06,95,100,1.79,BR,overcast clouds
287,Kruisfontein,-34.0033,24.7314,76.89,52,100,2.44,ZA,overcast clouds
288,Atambua,-9.1061,124.8925,75.42,86,97,1.16,ID,overcast clouds
289,Thatta,24.7475,67.9235,105.78,8,0,2.86,PK,clear sky
290,Vao,-22.6667,167.4833,78.57,86,4,16.93,NC,clear sky
291,Samarai,-10.6167,150.6667,82.98,75,97,11.25,PG,overcast clouds
292,Mahajanga,-15.7167,46.3167,89.62,58,20,5.75,MG,few clouds
293,Yebaishou,41.3975,119.6408,43.57,28,72,6.96,CN,moderate rain
294,Orocue,4.7912,-71.3354,76.03,85,84,1.12,CO,broken clouds
295,Kahului,20.8947,-156.47,75.85,76,0,5.75,US,clear sky
296,Arraial Do Cabo,-22.9661,-42.0278,76.86,94,20,6.91,BR,few clouds
297,Tuatapere,-46.1333,167.6833,59.14,93,98,1.43,NZ,moderate rain
298,Portland,45.5234,-122.6762,48.67,81,100,3.0,US,overcast clouds
299,Atbasar,51.8,68.3333,33.91,100,100,22.53,KZ,overcast clouds
300,Darhan,49.4867,105.9228,35.42,28,1,4.09,MN,clear sky
301,Przhevalskoye,55.5093,31.8482,33.4,46,30,8.46,RU,scattered clouds
302,Hosakote,14.2769,77.1699,99.03,17,32,8.39,IN,scattered clouds
303,Pindiga,9.9833,10.9333,92.41,5,18,8.95,NG,few clouds
304,Barillas,15.8036,-91.3158,57.96,84,44,4.29,GT,scattered clouds
305,Zhirnovsk,50.9845,44.7735,34.97,100,100,4.16,RU,light snow
306,Warrington,53.3925,-2.5802,44.33,85,75,14.97,GB,broken clouds
307,Borova,50.1763,30.1043,48.34,85,100,6.04,UA,overcast clouds
308,Rawah,34.4816,41.9093,74.52,15,100,14.29,IQ,overcast clouds
309,Ilo,-17.6394,-71.3375,65.26,77,100,8.05,PE,overcast clouds
310,Aswan,24.0934,32.907,91.08,11,0,13.96,EG,clear sky
311,Vondrozo,-22.8167,47.2833,71.42,83,57,7.16,MG,light rain
312,Labuhan,-6.8844,112.2051,83.66,73,77,3.85,ID,broken clouds
313,Severo-Kurilsk,50.6789,156.125,29.62,93,99,3.96,RU,overcast clouds
314,Gerash,27.6652,54.1371,84.34,8,0,3.44,IR,clear sky
315,Qaanaaq,77.484,-69.3632,14.38,88,100,4.0,GL,overcast clouds
316,Liwale,-9.7667,37.9333,73.99,93,98,3.98,TZ,moderate rain
317,Joshimath,30.5667,79.5667,75.38,24,2,8.48,IN,clear sky
318,Nikita,44.5333,34.2333,48.09,58,51,16.24,UA,broken clouds
319,Bayji,34.9311,43.487,75.18,15,100,3.76,IQ,overcast clouds
320,Kayerkan,69.3497,87.7602,28.53,79,99,11.72,RU,overcast clouds
321,Antofagasta,-23.65,-70.4,61.88,84,67,1.12,CL,broken clouds
322,Dolny Kubin,49.2098,19.3034,51.71,60,100,3.51,SK,light rain
323,Castanos,26.7833,-101.4167,72.34,45,16,9.01,MX,few clouds
324,Carnarvon,-24.8667,113.6333,80.67,74,33,13.8,AU,scattered clouds
325,Berlevag,70.8578,29.0864,30.2,93,100,19.57,NO,overcast clouds
326,Biak,-0.9131,122.8766,78.28,82,76,1.52,ID,broken clouds
327,Taltal,-25.4,-70.4833,60.85,86,47,1.72,CL,scattered clouds
328,Leningradskiy,69.3833,178.4167,-19.53,100,89,2.93,RU,overcast clouds
329,Murgab,37.4966,61.9714,65.5,11,0,12.17,TM,clear sky
330,Nago,26.5881,127.9761,73.83,95,100,5.32,JP,overcast clouds
331,Padang,-0.9492,100.3543,86.05,71,47,4.29,ID,scattered clouds
332,Mossendjo,-2.9506,12.7261,84.85,58,85,2.51,CG,overcast clouds
333,Tocopilla,-22.092,-70.1979,64.92,78,32,5.19,CL,scattered clouds
334,Asau,46.4333,26.4,65.32,37,100,12.84,RO,overcast clouds
335,Saint-Augustin,51.226,-58.6502,32.81,87,100,15.23,CA,overcast clouds
336,Constitucion,-35.3333,-72.4167,50.32,50,0,10.74,CL,clear sky
337,Korla,41.7597,86.1469,55.69,36,2,14.03,CN,clear sky
338,Balsas,-7.5325,-46.0356,73.09,93,99,0.47,BR,overcast clouds
339,Baruun-Urt,46.6806,113.2792,29.66,30,98,14.41,MN,overcast clouds
340,Wyndham,37.6985,-77.6125,42.94,76,100,3.0,US,overcast clouds
341,Teluk Nibung,3.001,99.8164,85.5,70,42,10.89,ID,scattered clouds
342,Nizhnevartovsk,60.9344,76.5531,33.82,100,100,8.99,RU,light snow
343,Pangnirtung,66.1451,-65.7125,12.18,90,84,3.69,CA,broken clouds
344,Northam,51.0333,-4.2167,47.66,87,97,4.03,GB,overcast clouds
345,Jurm,36.8648,70.8342,57.45,33,0,5.12,AF,clear sky
346,Sosnogorsk,63.6023,53.8817,24.42,67,100,2.91,RU,light snow
