City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Khandbari,NP,2022-03-10 22:54:19,27.3747,87.2039,60.15,36,0,4.5
102,Caravelas,BR,2022-03-10 22:54:19,-17.7125,-39.2481,77.11,81,37,4.99
103,Lakes Entrance,AU,2022-03-10 22:54:19,-37.8811,147.981,63.16,66,4,2.8
104,Tura,IN,2022-03-10 22:54:20,25.5198,90.2201,67.05,27,11,2.48
105,Yellowknife,CA,2022-03-10 22:43:59,62.456,-114.3525,2.41,61,20,11.5
106,Plast,RU,2022-03-10 22:54:20,54.3691,60.8136,-3.69,99,100,7.54
107,Ukiah,US,2022-03-10 22:54:21,39.1502,-123.2078,71.37,21,0,4.61
108,San Andres,CO,2022-03-10 22:50:37,12.5847,-81.7006,84.22,70,20,6.91
109,Unity,CA,2022-03-10 22:54:21,52.4501,-109.1682,0.25,83,96,15.46
110,Thompson,CA,2022-03-10 22:49:41,55.7435,-97.8558,5.16,51,75,12.66
111,Deputatskiy,RU,2022-03-10 22:54:22,69.3,139.9,-4.36,97,100,1.28
112,Northam,GB,2022-03-10 22:54:22,51.0333,-4.2167,43.61,89,42,15.79
113,Ust-Barguzin,RU,2022-03-10 22:54:22,53.45,108.9833,-3.03,94,32,5.55
114,Cidreira,BR,2022-03-10 22:54:23,-30.1811,-50.2056,75.0,89,93,5.3
115,Barrow,US,2022-03-10 22:50:02,71.2906,-156.7887,-12.98,70,0,6.91
116,Nome,US,2022-03-10 22:53:12,64.5011,-165.4064,25.11,75,0,25.97
117,Ancud,CL,2022-03-10 22:54:23,-41.8697,-73.8203,60.22,84,29,4.27
118,Airai,TL,2022-03-10 22:54:24,-8.9266,125.4092,63.81,86,65,1.59
119,Paracuru,BR,2022-03-10 22:54:24,-3.41,-39.0306,83.1,87,96,10.09
120,Aboisso,CI,2022-03-10 22:54:24,5.4678,-3.2071,80.47,87,100,6.04
121,Fortuna,US,2022-03-10 22:54:25,40.5982,-124.1573,59.94,60,0,12.66
